,atss_count,bloc_count_relative,cloc_count_relative,dpt_count,etp_count,loc_count,nbeh_count_relative,nbl_count,ncd_count,ncmd_count,nco_count,ndk_count,ndk_count_occurrences,ndm_count,ndm_count_occurrences,nemd_count_relative,nfl_count,nfmd_count_relative,nicd_count,nierr_count,nimpr_count,nimpt_count,ninc_count,nincr_count,ninct_count,nincv_count,nkeys_count,nlk_count,nlo_count,nlp_count,nmd_count,nnnv_count_relative,nnwv_count_relative,nsh_count,ntkn_count,ntnn_count_relative,nts_count,ntun_count_relative,ntvr_count,nun_count_relative,clusters
1287,10.0,0.0,0.0,3,-6.49,51,0.0,1.0,12,2.0,4,0,0,0.0,0.0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,0,3,0.0,3.0,1.0,0.0,0.0,202,0.0,5.0,0.6,6.0,0.8,0
1288,10.0,0.0,0.0,2,-5.2,21,0.0,0.0,10,0.0,3,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,2,2.0,2.0,1.0,0.0,0.0,74,0.0,2.0,1.0,3.0,1.0,1
1289,8.0,0.02,0.0,2,-6.01,42,0.0,0.0,15,1.0,0,1,3,0.0,0.0,0.44,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,0,4.0,3.0,1.0,0.0,2.0,150,0.0,5.0,1.0,7.0,1.0,0
1290,6.0,0.0,0.0,2,-4.8,18,0.0,0.0,13,0.0,9,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,6,0.0,2.0,1.0,0.0,0.0,76,0.0,3.0,1.0,4.0,1.0,1
1291,5.0,0.0,0.0,1,-4.12,15,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,0,0.0,3.0,1.0,0.0,0.0,37,0.0,3.0,1.0,1.0,1.0,1
1292,3.0,0.0,0.0,1,-5.0,20,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,0,0.0,6.0,1.0,0.0,0.0,61,0.17,6.0,0.83,1.0,1.0,1
1293,4.0,0.0,0.0,2,-4.44,9,0.0,0.0,1,0.0,0,0,0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0.0,1.0,1.0,0.0,0.0,29,0.0,2.0,1.0,1.0,1.0,1
1294,6.0,0.0,0.0,2,-4.95,22,0.0,0.0,7,0.0,1,0,0,0.0,0.0,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,0,1.0,3.0,0.8,0.2,0.0,80,0.0,4.0,1.0,6.0,1.0,1
1295,4.0,0.0,0.0,2,-5.73,32,0.0,0.0,5,0.0,0,0,0,0.0,0.0,0.0,1,0.0,0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,30,0,0,0.0,5.0,1.0,0.0,0.0,114,0.33,9.0,0.67,6.0,1.0,0
1296,7.0,0.15,0.0,2,-5.57,40,0.0,0.0,15,0.0,0,0,0,0.0,0.0,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,0,3.0,3.0,0.86,0.14,0.0,160,0.0,6.0,1.0,5.0,1.0,0
